state,switch,mode,margin,n,level,stat,p,pm
SC,overall,crop discontinuation,user's accuracy,58624,state,mean,0.7786028296941129,0.8322822294362576
SC,overall,crop discontinuation,producer's accuracy,58624,state,mean,0.7622062253545174,0.8322822294362576
SC,overall,crop introduction,user's accuracy,58624,state,mean,0.8096562685214124,0.8322822294362576
SC,overall,crop introduction,producer's accuracy,58624,state,mean,0.7923872052167901,0.8322822294362576
SC,switch,crop discontinuation,user's accuracy,9473,state,median,0.8210450704923276,0.8322822294362576
SC,switch,crop discontinuation,producer's accuracy,9473,state,median,0.7773170138951955,0.8322822294362576
SC,switch,crop introduction,user's accuracy,7336,state,median,0.804752826294403,0.8322822294362576
SC,switch,crop introduction,producer's accuracy,7336,state,median,0.7579431508754177,0.8322822294362576
SC,no switch,crop discontinuation,user's accuracy,49151,state,median,0.9052116634692204,0.8322822294362576
SC,no switch,crop discontinuation,producer's accuracy,49151,state,median,0.8758120335411136,0.8322822294362576
SC,no switch,crop introduction,user's accuracy,51288,state,median,0.9080406047817978,0.8322822294362576
SC,no switch,crop introduction,producer's accuracy,51288,state,median,0.8778059033734367,0.8322822294362576
SC,overall,crop discontinuation,user's accuracy,58624,state,median,0.8881005191698084,0.8322822294362576
SC,overall,crop discontinuation,producer's accuracy,58624,state,median,0.8602819485105053,0.8322822294362576
SC,overall,crop introduction,user's accuracy,58624,state,median,0.8968086516352374,0.8322822294362576
SC,overall,crop introduction,producer's accuracy,58624,state,median,0.867717151673735,0.8322822294362576
CT,switch,crop discontinuation,user's accuracy,71,state,mean,0.7923650043269399,0.8324781000385875
CT,switch,crop discontinuation,producer's accuracy,71,state,mean,0.691898678308529,0.8324781000385875
CT,switch,crop introduction,user's accuracy,49,state,mean,0.768700626387816,0.8324781000385875
CT,switch,crop introduction,producer's accuracy,49,state,mean,0.6417078124554108,0.8324781000385875
CT,no switch,crop discontinuation,user's accuracy,1377,state,mean,0.8959904327021727,0.8324781000385875
CT,no switch,crop discontinuation,producer's accuracy,1377,state,mean,0.8726548382273415,0.8324781000385875
CT,no switch,crop introduction,user's accuracy,1399,state,mean,0.8970279604458606,0.8324781000385875
CT,no switch,crop introduction,producer's accuracy,1399,state,mean,0.8724311409816362,0.8324781000385875
CT,overall,crop discontinuation,user's accuracy,1448,state,mean,0.8622381978754691,0.8324781000385875
CT,overall,crop discontinuation,producer's accuracy,1448,state,mean,0.8449730014358724,0.8324781000385875
CT,overall,crop introduction,user's accuracy,1448,state,mean,0.8744998521897487,0.8324781000385875
CT,overall,crop introduction,producer's accuracy,1448,state,mean,0.8550327924191947,0.8324781000385875
CT,switch,crop discontinuation,user's accuracy,71,state,median,0.8138414102944521,0.8324781000385875
CT,switch,crop discontinuation,producer's accuracy,71,state,median,0.7148548535635844,0.8324781000385875
CT,switch,crop introduction,user's accuracy,49,state,median,0.7750414050571328,0.8324781000385875
CT,switch,crop introduction,producer's accuracy,49,state,median,0.6416942979092797,0.8324781000385875
CT,no switch,crop discontinuation,user's accuracy,1377,state,median,0.9122660737257317,0.8324781000385875
CT,no switch,crop discontinuation,producer's accuracy,1377,state,median,0.8788644503606832,0.8324781000385875
CT,no switch,crop introduction,user's accuracy,1399,state,median,0.9122660737257317,0.8324781000385875
CT,no switch,crop introduction,producer's accuracy,1399,state,median,0.8788644503606832,0.8324781000385875
CT,overall,crop discontinuation,user's accuracy,1448,state,median,0.9122660737257317,0.8324781000385875
CT,overall,crop discontinuation,producer's accuracy,1448,state,median,0.8788644503606832,0.8324781000385875
CT,overall,crop introduction,user's accuracy,1448,state,median,0.9122660737257317,0.8324781000385875
CT,overall,crop introduction,producer's accuracy,1448,state,median,0.8788644503606832,0.8324781000385875
TX,switch,crop discontinuation,user's accuracy,76937,state,mean,0.7568643202351221,0.8346068128452375
TX,switch,crop discontinuation,producer's accuracy,76937,state,mean,0.7128360833072676,0.8346068128452375
TX,switch,crop introduction,user's accuracy,71358,state,mean,0.779109434606912,0.8346068128452375
TX,switch,crop introduction,producer's accuracy,71358,state,mean,0.7258000521754009,0.8346068128452375
TX,no switch,crop discontinuation,user's accuracy,785479,state,mean,0.8767008113733359,0.8346068128452375
TX,no switch,crop discontinuation,producer's accuracy,785479,state,mean,0.8843902450890773,0.8346068128452375
TX,no switch,crop introduction,user's accuracy,791058,state,mean,0.8787002187400769,0.8346068128452375
TX,no switch,crop introduction,producer's accuracy,791058,state,mean,0.8869720589015798,0.8346068128452375
TX,overall,crop discontinuation,user's accuracy,862416,state,mean,0.820179827845014,0.8346068128452375
TX,overall,crop discontinuation,producer's accuracy,862416,state,mean,0.8311110827963728,0.8346068128452375
TX,overall,crop introduction,user's accuracy,862416,state,mean,0.8242717512214446,0.8346068128452375
TX,overall,crop introduction,producer's accuracy,862416,state,mean,0.8362700864170358,0.8346068128452375
TX,switch,crop discontinuation,user's accuracy,76937,state,median,0.7604601014227244,0.8346068128452375
TX,switch,crop discontinuation,producer's accuracy,76937,state,median,0.74393135009411,0.8346068128452375
TX,switch,crop introduction,user's accuracy,71358,state,median,0.7783178500207318,0.8346068128452375
TX,switch,crop introduction,producer's accuracy,71358,state,median,0.7612810905212082,0.8346068128452375
